title;company;location;description
SOLICITAMOS TÉCNICOS DIRECTV FTTH;por defecto;por defecto;Solicitamos técnico instalador Directv, tanto en la parte satelital como en la de internet por fibra óptica: Conocimientos Técnicos Esenciales: * Equipos: Dominio en la instalación, configuración y mantenimiento de equipos de telecomunicaciones como routers, switches, módems, decodificadores y antenas satelitales. * Sistemas: Conocimiento en sistemas operativos como Windows. * Tecnología: Entendimiento de tecnologías como fibra óptica, sistemas inalámbricos y tecnologías móviles. * Seguridad: Conocimientos básicos en seguridad informática y medidas de protección de datos. Habilidades Prácticas: * Instalación: Experiencia en la instalación de equipos satelitales, antenas y redes de fibra óptica. * Solución de problemas: Capacidad para diagnosticar y solucionar problemas técnicos de forma rápida y eficiente. * Trabajo en campo: Disponibilidad para realizar trabajos en exteriores y en diferentes condiciones climáticas. * Atención al cliente: Habilidades de comunicación y atención al cliente para interactuar con los usuarios de forma clara y amable. Requisito (Excluyente): * Poseer licencia de conducir Tipo B * Haber tenido certificaciones específicas de Directv y Certificación DTTH DIRECTV Otras Competencias: * Trabajo en equipo: Capacidad para trabajar en equipo y colaborar con otros técnicos. * Orientación a resultados: Compromiso con la calidad del servicio y la satisfacción del cliente. * Aprendizaje continuo: Disposición para mantenerse actualizado en las últimas tecnologías y tendencias del sector. Se asigna Auto y materiales de trabajo.
ESPECIALISTA EN DATAOPS;por defecto;por defecto;En BC Tecnología estamos en la búsqueda de un Especialista en DataOps para unirse a nuestro equipo. Buscamos un profesional con sólidas habilidades técnicas en AWS, manejo de bases de datos, automatización y herramientas de calidad de datos. Requisitos: • Experiencia mínima de 3 años en roles relacionados con DataOps. • Dominio de AWS (S3, Lambda, Redshift, Datalake). • Conocimientos sólidos en ELK Elasticsearch para análisis de datos. • Experiencia en sistemas operativos Linux y Unix. • Dominio de Python, PySpark y SQL. • Conocimientos avanzados en CI/CD (Terraform, GitLab, Jenkins). • Experiencia en modelos de datos relacionales y dimensionales. Deseables • Conocimiento en Retail (no excluyente, pero altamente valorado). Ofrecemos • Contrato 3 meses y según desempeño Indefinido • Horario de lunes a Viernes 8:30 a 18:30 • Modalidad de trabajo: Hibrido • Beneficios Si cumples con el perfil Enviar CV mencionando con experiencia a: pcares@bctecnologia.com Indicando pretensiones de renta y me pondré en contacto contigo a la brevedad si cumples con el perfil solicitado.
DESARROLLADOR FULLSTACK POWERAPPS (MODELAMIENTO DATOS);por defecto;por defecto;Buscamos un desarrollador Fullstack para que se integre a la célula de contabilidad de nuestro cliente, modalidad hibrida. Las principales funciones que desarrollarás son las siguientes: • Definir el modelo de datos del proyecto. • Desarrollar y mantener un flujo de generación centralizada de la información de comisiones utilizando como plataforma de desarrollo Power Automate y Sharepoint como repositorio de los archivos y formularios de entrada y base de datos SQL/Server como repositorio de los datos. • Desarrollar procesos de generación, consulta y cuadratura de la información de comisiones utilizando las herramientas de Microsoft Power Apps o NET Core e interacción con base de datos SQL / Server. • Desarrollar API utilizando tecnología .netcore v6 o superior y C#. • Realizar pruebas unitarias y de integración para garantizar la calidad del código. • Colaborar con el equipo de diseño y otros desarrolladores para asegurar la coherencia y la calidad del producto final. Requisitos: • Título del área Informática, se solicita certificado de título para validación. • Mínimo 3 años de experiencia. • Residencia en Santiago de Chile (vacante de modalidad híbrida). Conocimientos técnicos excluyentes: • PowerApps • NetCore v6 o superior • C# • SQL/Server • Conocimiento Api Restful Horario de trabajo: • Lunes a jueves de 08:30 a 18:30 hrs. • Viernes de 8:30 a 14:00 hrs. Modalidad de trabajo híbrida: • 2 días presencial en las Condes • 3 días remoto
ANALISTA TI SENIOR / CON EXPERIENCIA;por defecto;por defecto;¡Únete a TriiBu! Somos una empresa dedicada a brindar servicios tecnológicos y posicionamiento de profesionales, impactando positivamente en nuestros colaboradores y en la sociedad. Ofrecemos beneficios destacados y desarrollo profesional, garantizando un servicio de alta calidad a precios competitivos. Además, apoyamos la lucha contra el cáncer destinando un porcentaje de nuestras utilidades a esta causa. Estamos en búsqueda de un ANALISTA TI SENIOR para la gestión de incidentes. Requisitos: - Carreras: Ingeniero Civil Informático, Civil Industrial o carreras afines - Experiencia, al menos, 2 años en labores de coordinación y gestión de iniciativas o proyectos - Conocimiento y experiencia en uso de herramientas de ofimática (SharePoint, Word, Excel, PowerPoint, Project, Power BI, etc.) - Experiencia y manejo de conceptos asociados a metodologías o prácticas de TI. - Deseable Inglés técnico Manejo conceptual de: - Plataformas Microsoft Windows en múltiples versiones. - Plataforma Linux en múltiples versiones. - Motores de Datos, por ejemplo: Microsoft SQL Server, DB2, Oracle. - Arquitectura TI – Marcos de referencia - Plataformas o servicios Cloud Ofrecemos: Seguro de salud integral. Días libres adicionales para tu bienestar. Acceso a una plataforma que promueve hábitos saludables. Servicio de telemedicina. Seguro de vida que garantiza tu tranquilidad. Si eres un técnico profesional, proactivo y con pasión por la gestión de incidentes en el área de TI, ¡queremos conocerte! Envíanos tu postulación indicando tus pretensiones de renta. ¡Te esperamos!
STAFF TECNOLOGICO;por defecto;por defecto;Como empresa mediana en la industria Retail, con mas de 50 años en el giro, buscamos incorporar a nuestro staff permanente, una persona conocimientos y experiencia en programación y TI. Sus funciones serán, mantener operativo nuestro sistema informático y nuestra red local, coordinar sus mantenciones externas, SOS, cotizaciones afines, puesta en marcha de nuevos dispositivos. El trabajo consiste ademas en visitar permanentemente nuestros 3 locales en Puente Alto y San José de Maipo, apoyar en temas funcionales y comerciales, con el propósito de ofrecer continuidad a sus operaciones. Básicamente, se trata de un staff tecnológico que presta apoyo técnico a las áreas comercial y operacional de la empresa de manera presencial y remota.
TÉCNICO TELECOMUNICACIONES – CALAMA;por defecto;por defecto;¡Da el Salto a una Carrera Brillante en Telecomunicaciones con XR3! ¿Siempre has soñado con trabajar en el dinámico mundo de las telecomunicaciones pero no sabes por dónde empezar? ¡XR3 te ofrece la oportunidad perfecta para comenzar tu carrera y desarrollarte en un entorno profesional con capacitación completa y apoyo constante! ¿Qué Te Ofrecemos? 1. Capacitación Integral y Profesional En XR3, creemos en el potencial de cada persona. Por eso, te ofrecemos una capacitación completa que te transformará en un experto en telecomunicaciones. Aprenderás desde los conceptos básicos hasta las técnicas avanzadas, con formación práctica y teórica que te preparará para enfrentar cualquier desafío en el campo. 2. Oportunidades para Todos los Niveles Estamos buscando personas apasionadas y motivadas en tres niveles: Training: Para quienes están comenzando y desean aprender desde cero. Te ofrecemos un programa de capacitación diseñado para desarrollarte en el área de telecomunicaciones. Junior: Si ya tienes algo de experiencia, pero quieres seguir creciendo y perfeccionándote en el campo, este es el lugar ideal para ti. Senior: Si eres un profesional experimentado, encontrarás desafíos interesantes y oportunidades para liderar proyectos y mentorizar a otros. 3. Flexibilidad y Adaptabilidad Nuestro trabajo a menudo requiere viajar y trabajar en diferentes ubicaciones. Si tienes flexibilidad y estás dispuesto a adaptarte a diversas situaciones y entornos, ¡este es el lugar ideal para ti! 4. Licencia de Conducir Clase B Si ya cuentas con una licencia de conducir clase B, ¡excelente! Esto será un plus que te permitirá acceder a más oportunidades dentro de nuestro equipo. Responsabilidades que Asumirás 1. Instalación y Reparación de Servicios Trabajarás bajo la supervisión de profesionales experimentados en la instalación y mantenimiento de servicios de telecomunicaciones. Aprenderás a manejar herramientas y equipos, y a realizar reparaciones con precisión y eficiencia. 2. Configuración de Equipos y Dispositivos Asistirás en la configuración de equipos y dispositivos, asegurando que todo funcione perfectamente. Esto incluirá desde routers hasta sistemas de telecomunicaciones más complejos. 3. Servicio al Cliente de Alta Calidad Tu rol incluirá proporcionar un excelente servicio al cliente. Serás el primer punto de contacto para resolver problemas y asegurar la satisfacción de nuestros clientes. La comunicación efectiva y la resolución de problemas serán clave. 4. Cumplimiento de Protocolos de Seguridad La seguridad es nuestra prioridad. Te enseñaremos a seguir los más altos estándares de seguridad y a aplicar los protocolos necesarios para protegerte a ti mismo y a nuestros clientes. Lo Que Te Ofrecemos 1. Renta Inicial Atractiva Disfruta de una remuneración asegurada durante tus primeros 2 meses con nosotros. Queremos que te sientas valorado desde el inicio de tu carrera con XR3. 2. Bono de Producción Tu esfuerzo y desempeño no pasarán desapercibidos. Ofrecemos un bono de producción basado en tu rendimiento y contribución al equipo. ¡Cuanto mejor lo hagas, mayores serán tus recompensas! 3. Uniforme e Implementos de Seguridad Te proporcionaremos todo lo necesario para realizar tu trabajo de manera segura y profesional. Desde uniformes hasta implementos de seguridad, tendrás todo lo que necesitas para desempeñarte con confianza. 4. Capacitación Continua y Oportunidades de Crecimiento Tu desarrollo profesional es importante para nosotros. Ofrecemos formación continua y oportunidades de crecimiento dentro de la empresa. Queremos que avances en tu carrera y alcances tus metas profesionales con XR3. ¡No Pierdas Esta Oportunidad! Si estás listo para dar el primer paso en una carrera emocionante en telecomunicaciones, ¡XR3 es el lugar perfecto para ti! Únete a nosotros y descubre un mundo de posibilidades y crecimiento profesional. Postúlate hoy y comienza tu viaje hacia una carrera exitosa con XR3. ¡Estamos emocionados de conocerte y trabajar contigo para alcanzar nuevos horizontes!
DESARROLLADOR FULL-STACK TYPESCRIPT, REACT, NODE.JS;por defecto;por defecto;¿Te emociona la idea de crear algo que realmente importe? ¿Te imaginas desarrollando soluciones que no solo mejoren la forma en que las empresas trabajan, sino que hagan que todo fluya de manera más simple y eficiente? Si sueñas con usar tu código para resolver problemas reales y transformar procesos, ¡esta es tu oportunidad para hacerlo y crecer con nosotros! Estamos buscando un Desarrollador Full-Stack con experiencia en TypeScript, React/Next.js, Node.js, y bases de datos relacionales como MySQL. Tendrás la oportunidad de liderar el desarrollo de una aplicación web que ayudará a las empresas a gestionar y automatizar sus procesos de manera más eficiente. Responsabilidades: Desarrollo Front-End: Crear interfaces dinámicas y responsivas con React/Next.js, asegurando una experiencia de usuario fluida. Desarrollo Back-End: Diseñar y desarrollar APIs robustas y seguras utilizando Node.js. Bases de Datos: Administrar y optimizar bases de datos MySQL, asegurando la integridad y eficiencia de los datos. Seguridad: Implementar soluciones de autenticación y manejo de permisos utilizando tecnologías como OAuth y JWT. Control de Versiones: Utilizar Git para la gestión del código y trabajo colaborativo en plataformas como GitHub o GitLab. Colaboración con el equipo: Trabajarás junto a un diseñador UX/UI para implementar las principales funcionalidades y pantallas del sistema. Requisitos: Título en Ingeniería Informática o carreras afines. Más de 2 años de experiencia desarrollando aplicaciones web usando TypeScript, React/Next.js, y Node.js. Experiencia con bases de datos relacionales como MySQL. Familiaridad con APIs REST y GraphQL. Conocimientos en Git para control de versiones y trabajo colaborativo. Experiencia en el uso de metodologías ágiles para la entrega de proyectos Deseable conocimientos y certificaciones AWS: EC2 /S3/RDS/ IAM/ CloudWatch.. Ofrecemos: Proyecto de 6 a 9 meses, con posibilidad de extenderse indefinidamente. Autonomía y responsabilidad técnica en un proyecto de alto impacto. Ambiente de trabajo flexible, con posibilidad de teletrabajo y crecimiento profesional. ¡Únete a nuestro equipo y sé parte de una solución que transformará la forma en que las empresas gestionan sus procesos empresariales!
CONSULTOR SAP BANKING;por defecto;por defecto;Especialista SAP Banking, Consultor SAP 100% remoto, o con 1 día de trabajo presencial en Santiago.
DESARROLLADOR FULLSTACK;por defecto;por defecto;Nos encontramos en búsqueda de Profesional Informático con experiencia en el cargo Desarrollador de Software Full Stack,para empresa Chilena TI, la cual presta servicios de hosting, housing y operaciones de plataformas de software a diferentes empresas. Los candidatos DEBEN contar con lo siguiente: Estudios solicitados: 1. Licenciatura en Informática, Ingeniería de Software, o a fin Requisitos OBLIGATORIOS para la postulación: 1. Experiencia previa como desarrollador entorno full stack (sólida experiencia en desarrollo front-end como back-end) 2. Experiencia en el desarrollo de aplicaciones utilizando Python, .NET y Angular. 3. Experiencia sólida con SQL Server y Transact-SQL para el diseño y mantenimiento de bases de datos relacionales. 4. Conocimientos en técnicas de scrapping para la extracción de datos de diversas fuentes web. 5. Experiencia en el diseño, desarrollo y consumo de API REST para la integración de sistemas. 6. Experiencia en desarrollo con Power BI 7. Experiencia de 6 meses como Mínimo utilizando IA 8. Se requiere que haya realizado a lo menos una implementación de API con Docker Funciones: 1. Desarrollar aplicaciones web y servicios 2. Diseñar, implementar y mantener bases de datos utilizando SQL Server (Transact-SQL) 3. Implementar técnicas de scrapping para obtener datos de fuentes externas y utilizarlos en las aplicaciones internas. 4. Desarrollar y consumir API REST para integrar sistemas y facilitar la comunicación entre diferentes componentes de software. Habilidades Técnicas Solicitadas EXCLUYENTES: . Power BI . Docker . IA • .Net Core / ASP.net (desde las primeras versiones hasta la última) • C# • Angular • Python • Json • Api Rest • SQL Server • GitHUB • TypeScript Habilidades Complementarias DESEABLES • Micro Servicios • Entity Framework • MVC • Dart • Flatter Información Relevante: 1. Se ofrece Contrato indefinido, directo con la empresa 2. Modalidad: Remota, 100% virtual 3. Horario: lunes a jueves de 8:15 a 14:15 horas y de 15:00 a 18:15 horas y viernes de 8:15 a 14:15 y de 15:00 a 16:00 horas. 4. Beneficios: Sodexo, día libre por cumpleaños, aguinaldo fiestas patrias y navidad. 5. Fecha de ingreso: Inmediata 6. Empresa en crecimiento, con proyectos en chile y latinoamerica 7. Ofrece estabilidad laboral, crecimiento y desarrollo profesional dentro de la misma. *Pueden postular personas que se encuentren fuera de chile y realizar el trabajo de manera online* *Recuerda contestar las preguntas de la postulación* Si cuentas con la experiencia y requisitos solicitados e indicados en esta publicación, envianos tu cv, te esperamos!!
DESARROLLADOR FULL STACK: IMPULSANDO LA INNOVACIÓN EN MOTOMUNDI;por defecto;por defecto;DESARROLLADOR FULL STACK Estamos buscando un Desarrollador Full Stack altamente calificado para unirse a nuestro equipo dinámico. El candidato ideal tendrá una sólida experiencia tanto en desarrollo front-end como back-end, con experiencia en nuestro stack tecnológico específico. +------------------------------------------+ REQUISITOS DEL PUESTO +------------------------------------------+ 1. Mínimo de 3 años de experiencia en desarrollo full stack 2. Experiencia comprobada en las siguientes tecnologías: a) MySQL b) Redis c) Elasticsearch d) Vue.js 3 e) Node.js 3. Sólida comprensión de los principios y mejores prácticas de desarrollo web 4. Experiencia en diseño e implementación de APIs RESTful 5. Dominio de sistemas de control de versiones, preferiblemente Git 6. Excelentes habilidades de resolución de problemas y depuración 7. Fuertes habilidades de comunicación y capacidad para trabajar en equipo +------------------------------------------+ RESPONSABILIDADES +------------------------------------------+ 1. Desarrollar y mantener componentes tanto de front-end como de back-end de nuestras aplicaciones web 2. Escribir código limpio, eficiente y bien documentado 3. Optimizar aplicaciones para máxima velocidad y escalabilidad 4. Colaborar con equipos multifuncionales para definir, diseñar e implementar nuevas características 5. Asegurar la viabilidad técnica de los diseños UI/UX 6. Implementar medidas de seguridad y protección de datos 7. Solucionar problemas, depurar y actualizar sistemas existentes 8. Mantenerse al día con las tendencias y tecnologías emergentes en desarrollo web +------------------------------------------+ CUALIFICACIONES +------------------------------------------+ 1. Licenciatura en Ciencias de la Computación, Ingeniería de Software o campo relacionado (o experiencia laboral equivalente) 2. Comprensión profunda de JavaScript y sus ecosistemas 3. Experiencia con herramientas y flujos de trabajo de desarrollo front-end 4. Familiaridad con metodologías de desarrollo Ágil 5. Conocimiento de técnicas de optimización de código y ajuste de rendimiento +------------------------------------------+ DESEABLE +------------------------------------------+ 1. Experiencia con tecnologías de containerización (por ejemplo, Docker) 2. Familiaridad con plataformas cloud (AWS, Google Cloud o Azure) 3. Comprensión de pipelines de CI/CD 4. Experiencia con arquitectura de microservicios +------------------------------------------+ Ofrecemos un salario competitivo, oportunidades de crecimiento profesional y un ambiente de trabajo colaborativo. Si te apasiona crear aplicaciones web de alta calidad y trabajar con tecnologías de vanguardia, ¡nos encantaría saber de ti! ```
INGENIERO DE DATOS;por defecto;por defecto;Inconsulting somos una consultoría de vanguardia que se dedica a ofrecer soluciones estratégicas a empresas que busca un crecimiento sostenible y un éxito duradero. Fundada en 2015, hemos acumulado experiencia y una sólida reputación en el campo de la consultoría de datos enfocados en industrias como el retail, minería y empresas financieras. Estamos en búsqueda de un Ingeniero de Datos para integrarse a nuestro equipo. Algunas de sus responsabilidades son: - Diseñar, construir y mantener arquitecturas de datos robustas y escalables. - Desarrollar y mantener pipelines de extracción de datos optimizados para grandes volúmenes de datos. - Realizar nuevas ingestas desde múltiples fuentes (base de datos, archivos, api, entre otros). - Analizar y desarrollar procesos ETL/ELT realizando limpiezas y agregaciones. - Optimización de tablas deltas asegurando su acceso y procesamiento. - Realización de cursos relacionados a su rol. Requisitos: (excluyentes) - Ingeniero Informatico , Ingeniero Civil Informatico. - Experiencia mínima de 3 años en roles de ingeniería de datos. - Fuerte dominio en lenguaje de programación PySpark, Python o Scala. - Experiencia trabajando en Databricks, creación de notebook, uso de Unity Catalog, creación de Cluster. - Modelamiento y estructuración de DataWarehouse y Data Lakehouse. - Conocimientos de base de datos SQL y NoSql. - Conocimientos en Azure (Datalake, DataFactory, Synapse Analytics, EventHub) o similares, Google Cloud, AWS. Deseables: - Experiencia liderando equipos. - Conocimientos en DevOps, CI/CD, GIT. - Conocimientos en procesos Streaming.
